"person_id","client_id","app_id","sdk_version","platform","publisher_id","advertiser_id","app_user_id","latitude","longitude","altitude","floor","horizontal_accuracy","vertical_accuracy","heading","speed","ipv_4","ipv_6","country","email","mobile_number","user_agent","background","battery","network","venue_name","venue_category","dwell_time","location_at","captured_at","created_at","input_file_name","carrier","manufacturer","device_model","wifi_ssid","wifi_bssid","decorated_at","dist_moved","day_number","day_type","time_type","dwell_type","confidence","source","tech_signals","geo_country","region","region_type","location_ts"
,"98","218",,"android",,"7777E4DA-2BC7-4752-8AAD-A2C6858564C9",,"36.1341179","-85.450854","0.0",,"16.14","0.0",,"0.0",,,"US",,,,,"100.0",,,,,"2018-09-13 08:19:18.000","2018-09-13 12:18:00.058","2018-09-13 12:18:00.058","s3://xmode-providers/life360-b/2018/09/13/12/part-00001-d473dd58-19ed-43c4-ba1f-fec1efe7441e-c000.snappy.parquet",,,"SM-G955U",,,,,,,,,,,,"US","Tennessee","State","2018-09-13 08:00:00.000"
,"98","218",,"android",,"7777E4DA-2BC7-4752-8AAD-A2C6858564C9",,"36.1341249","-85.4508541","344.6000061035156",,"15.92","0.0",,"0.0",,,"US",,,,,"100.0",,,,,"2018-09-13 09:29:18.000","2018-09-13 13:18:48.235","2018-09-13 13:18:48.235","s3://xmode-providers/life360-b/2018/09/13/13/part-00001-821416b1-ee08-4a89-b6e4-8f0a321dd171-c000.snappy.parquet",,,"SM-G955U",,,,,,,,,,,,"US","Tennessee","State","2018-09-13 09:00:00.000"
,"98","218",,"android",,"7777E4DA-2BC7-4752-8AAD-A2C6858564C9",,"36.1341257","-85.4508515","344.6000061035156",,"26.16","0.0",,"0.0",,,"US",,,,,"100.0",,,,,"2018-09-13 06:59:38.000","2018-09-13 10:17:58.849","2018-09-13 10:17:58.849","s3://xmode-providers/life360-b/2018/09/13/10/part-00001-28888f10-8c4e-4f18-853f-e02ff44c5658-c000.snappy.parquet",,,"SM-G955U",,,,,,,,,,,,"US","Tennessee","State","2018-09-13 06:00:00.000"
,"98","218",,"android",,"7777E4DA-2BC7-4752-8AAD-A2C6858564C9",,"36.1341257","-85.4508515","344.6000061035156",,"29.54","0.0",,"0.0",,,"US",,,,,"100.0",,,,,"2018-09-13 07:19:20.000","2018-09-13 11:17:52.867","2018-09-13 11:17:52.867","s3://xmode-providers/life360-b/2018/09/13/11/part-00001-9a5629b5-ce59-45fa-86b0-5af4e437889c-c000.snappy.parquet",,,"SM-G955U",,,,,,,,,,,,"US","Tennessee","State","2018-09-13 07:00:00.000"
,"98","218",,"android",,"7777E4DA-2BC7-4752-8AAD-A2C6858564C9",,"36.1394116","-85.5280609","298.31329345703125",,"10.0","0.0",,"0.0",,,"US",,,,,"82.0",,,,,"2018-09-13 13:44:16.000","2018-09-13 17:20:12.379","2018-09-13 17:20:12.379","s3://xmode-providers/life360-b/2018/09/13/17/part-00001-c6b9f7e8-8e06-4396-91ee-5a2aba45d4f2-c000.snappy.parquet",,,"SM-G955U",,,,,,,,,,,,"US","Tennessee","State","2018-09-13 13:00:00.000"
,"98","218",,"android",,"7777E4DA-2BC7-4752-8AAD-A2C6858564C9",,"35.4610614","-89.3024983","123.20086669921875",,"253.462","0.0",,"0.0",,,"US",,,,,"91.0",,,,,"2018-09-13 20:17:27.000","2018-09-14 00:36:12.870","2018-09-14 00:36:12.870","s3://xmode-providers/life360-b/2018/09/14/00/part-00001-115cd8b1-10bf-4845-b2e9-511fc78315a1-c000.snappy.parquet",,,"SM-G955U",,,,,,,,,,,,"US","Tennessee","State","2018-09-13 20:00:00.000"
,"98","218",,"android",,"7777E4DA-2BC7-4752-8AAD-A2C6858564C9",,"36.1341178","-85.450854","344.6000061035156",,"16.667","0.0",,"0.0",,,"US",,,,,"100.0",,,,,"2018-09-13 06:49:51.000","2018-09-13 10:17:58.849","2018-09-13 10:17:58.849","s3://xmode-providers/life360-b/2018/09/13/10/part-00001-28888f10-8c4e-4f18-853f-e02ff44c5658-c000.snappy.parquet",,,"SM-G955U",,,,,,,,,,,,"US","Tennessee","State","2018-09-13 06:00:00.000"
,"98","218",,"android",,"7777E4DA-2BC7-4752-8AAD-A2C6858564C9",,"36.1396312","-85.5280565","256.525634765625",,"13.936","0.0",,"0.0",,,"US",,,,,"85.0",,,,,"2018-09-13 12:55:56.000","2018-09-13 16:20:31.839","2018-09-13 16:20:31.839","s3://xmode-providers/life360-b/2018/09/13/16/part-00001-c08c8516-3eed-4f0f-ade5-6147056ff725-c000.snappy.parquet",,,"SM-G955U",,,,,,,,,,,,"US","Tennessee","State","2018-09-13 12:00:00.000"
,"98","218",,"android",,"7777E4DA-2BC7-4752-8AAD-A2C6858564C9",,"36.1341257","-85.4508515","344.6000061035156",,"28.34","0.0",,"0.0",,,"US",,,,,"100.0",,,,,"2018-09-13 06:00:02.000","2018-09-13 10:17:58.849","2018-09-13 10:17:58.849","s3://xmode-providers/life360-b/2018/09/13/10/part-00001-28888f10-8c4e-4f18-853f-e02ff44c5658-c000.snappy.parquet",,,"SM-G955U",,,,,,,,,,,,"US","Tennessee","State","2018-09-13 06:00:00.000"
,"98","218",,"android",,"7777E4DA-2BC7-4752-8AAD-A2C6858564C9",,"36.1344386","-85.4507256","0.0",,"37.265","0.0",,"0.0",,,"US",,,,,"93.0",,,,,"2018-09-13 11:10:57.000","2018-09-13 15:19:38.276","2018-09-13 15:19:38.276","s3://xmode-providers/life360-b/2018/09/13/15/part-00001-c94f4549-bb58-4c53-ba22-7c8f3ed1f1e6-c000.snappy.parquet",,,"SM-G955U",,,,,,,,,,,,"US","Tennessee","State","2018-09-13 11:00:00.000"
